"id_respuesta","fecha","edad","area","satisfaccion","comentario"
"R00341","2025-11-05","43","Soporte","3"," "
"R00343","2025-11-24","26","Soporte","4"," "
"R00350","2025-11-02","54","Atencion","3","Excelente"
"R00352","2025-11-18","59","Ventas","4"," "
"R00353","2025-11-06","19","Atencion","6","Muy bien"
"R00354","2025-11-04","21","Soporte","5","Rapido"
"R00355","2025-11-12","38","Soporte","6"," "
"R00358","2025-11-11","51","Soporte","6"," "
"R00365","2025-11-07","31","Soporte","3"," "
"R00368","2025-11-26","61","Atencion","4","Rapido"
"R00370","2025-11-15","45","Soporte","10"," "
"R00379","2025-11-14","33","Atencion","6"," "
"R00380","2025-11-05","47","Soporte","6","Rapido"
"R00383","2025-11-28","51","Atencion","4","Rapido"
"R00388","2025-11-23","31","Soporte","3","Muy bien"
"R00389","2025-11-18","36","Atencion","1"," "
"R00391","2025-11-10","24","Soporte","9"," "
"R00392","2025-11-21","33","Atencion","7"," "
"R00396","2025-11-03","36","Atencion","3","Rapido"
"R00403","2025-11-21","56","Atencion","6","Excelente"
"R00405","2025-11-22","25","Atencion","1","Podria mejorar"
"R00408","2025-11-08","49","Atencion","8","Mal servicio"
"R00410","2025-11-07","53","Atencion","4","Rapido"
"R00412","2025-11-19","57","Soporte","3"," "
"R00413","2025-11-07","31","Soporte","8","Mal servicio"
"R00414","2025-11-12","28","Soporte","2"," "
"R00417","2025-11-03","34","Ventas","2","Muy bien"
"R00418","2025-11-22","49","Atencion","2"," "
"R00421","2025-11-29","32","Atencion","2","Podria mejorar"
"R00423","2025-11-05","20","Ventas","5"," "
"R00429","2025-11-30","52","Atencion","5"," "
"R00430","2025-11-01","30","Soporte","5"," "
"R00431","2025-11-22","25","Ventas","9"," "
"R00432","2025-11-16","22","Soporte","9"," "
"R00435","2025-11-13","20","Soporte","6"," "
"R00437","2025-11-23","63","Ventas","5"," "
"R00440","2025-11-03","38","Soporte","7"," "
"R00442","2025-11-20","44","Atencion","6","Rapido"
"R00444","2025-11-21","50","Soporte","5","Podria mejorar"
"R00446","2025-11-29","43","Soporte","9"," "
"R00449","2025-11-27","56","Ventas","7","Muy bien"
"R00451","2025-11-01","39","Postventa","6"," "
"R00453","2025-11-19","20","Soporte","5","Podria mejorar"
"R00457","2025-11-25","23","Soporte","9","Podria mejorar"
"R00460","2025-11-07","29","Ventas","2"," "
"R00461","2025-11-29","24","Ventas","8","Excelente"
"R00462","2025-11-02","34","Atencion","5"," "
"R00464","2025-11-12","26","Atencion","8","Rapido"
"R00467","2025-11-17","47","Postventa","3","Muy bien"
"R00471","2025-11-05","41","Soporte","5","Excelente"
"R00472","2025-11-06","31","Soporte","6","Mal servicio"
"R00474","2025-11-10","61","Atencion","4","Excelente"
"R00475","2025-11-07","42","Atencion","1","Mal servicio"
"R00479","2025-11-30","50","Atencion","7","Podria mejorar"
"R00480","2025-11-25","44","Ventas","7","Muy bien"
"R00482","2025-11-15","54","Atencion","6"," "
"R00484","2025-11-18","49","Ventas","1","Mal servicio"
"R00489","2025-11-18","36","Atencion","4","Podria mejorar"
"R00497","2025-11-06","56","Ventas","9"," "
"R00499","2025-11-06","36","Soporte","3"," "
"R00501","2025-11-28","46","Soporte","7","Excelente"
"R00502","2025-11-21","18","Soporte","10","Excelente"
"R00503","2025-11-06","47","Atencion","1"," "
"R00505","2025-11-11","53","Ventas","7","Podria mejorar"
"R00506","2025-11-23","61","Postventa","4"," "
"R00507","2025-11-26","51","Soporte","1"," "
"R00508","2025-11-06","44","Soporte","1"," "
"R00513","2025-11-11","55","Soporte","3","Podria mejorar"
"R00514","2025-11-14","46","Ventas","3"," "
"R00515","2025-11-11","42","Ventas","4"," "
"R00516","2025-11-27","42","Soporte","7"," "
"R00518","2025-11-09","61","Soporte","6","Rapido"
"R00519","2025-11-03","22","Postventa","10","Muy bien"
"R00520","2025-11-17","44","Atencion","5","Muy bien"
"R00525","2025-11-22","41","Postventa","7","Rapido"
"R00528","2025-11-03","50","Atencion","6","Rapido"
"R00530","2025-11-20","54","Postventa","6","Mal servicio"
"R00531","2025-11-05","32","Atencion","6","Mal servicio"
"R00533","2025-11-22","53","Ventas","8","Muy bien"
"R00534","2025-11-17","40","Atencion","10"," "
"R00535","2025-11-03","53","Soporte","8","Muy bien"
"R00536","2025-11-13","34","Atencion","1","Rapido"
"R00537","2025-11-24","22","Ventas","1"," "
"R00539","2025-11-24","38","Postventa","4"," "
"R00542","2025-11-14","30","Ventas","4","Mal servicio"
"R00543","2025-11-06","28","Atencion","7","Mal servicio"
"R00544","2025-11-09","55","Postventa","3"," "
"R00545","2025-11-30","63","Postventa","2"," "
"R00546","2025-11-10","24","Atencion","8","Muy bien"
"R00547","2025-11-11","48","Atencion","6"," "
"R00551","2025-11-16","53","Ventas","1","Muy bien"
"R00552","2025-11-22","48","Atencion","4"," "
"R00556","2025-11-15","19","Atencion","4"," "
"R00558","2025-11-12","56","Ventas","8"," "
"R00559","2025-11-06","21","Ventas","5","Muy bien"
"R00560","2025-11-14","64","Atencion","8"," "
"R00563","2025-11-21","53","Postventa","7","Excelente"
"R00564","2025-11-13","44","Soporte","5","Excelente"
"R00568","2025-11-26","33","Ventas","6"," "
"R00573","2025-11-08","28","Atencion","8"," "
"R00574","2025-11-28","55","Soporte","4","Mal servicio"
"R00576","2025-11-18","22","Postventa","5","Muy bien"
"R00579","2025-11-17","40","Atencion","3"," "
"R00583","2025-11-17","62","Soporte","5"," "
"R00584","2025-11-29","47","Postventa","4"," "
"R00585","2025-11-05","33","Atencion","4"," "
"R00586","2025-11-07","31","Postventa","9","Muy bien"
"R00590","2025-11-26","35","Atencion","5","Rapido"
"R00597","2025-11-02","49","Atencion","6"," "
"R00599","2025-11-08","54","Postventa","1"," "
"R00600","2025-11-18","65","Atencion","9"," "
"R00603","2025-11-01","37","Postventa","5","Excelente"
"R00604","2025-11-20","57","Ventas","2"," "
"R00612","2025-11-28","61","Atencion","7","Rapido"
"R00613","2025-11-15","36","Atencion","8"," "
"R00614","2025-11-17","62","Soporte","5","Muy bien"
"R00617","2025-11-24","32","Ventas","3","Mal servicio"
"R00620","2025-11-29","62","Postventa","4"," "
"R00622","2025-11-08","54","Atencion","2","Mal servicio"
"R00624","2025-11-24","52","Ventas","6","Podria mejorar"
"R00626","2025-11-06","42","Soporte","4"," "
"R00627","2025-11-21","26","Atencion","5"," "
"R00629","2025-11-30","60","Atencion","5","Rapido"
"R00631","2025-11-04","53","Soporte","7","Muy bien"
"R00633","2025-11-05","33","Ventas","9","Rapido"
"R00636","2025-11-05","38","Atencion","3","Muy bien"
"R00640","2025-11-12","45","Ventas","3","Rapido"
"R00642","2025-11-12","43","Ventas","9"," "
"R00645","2025-11-28","27","Soporte","9"," "
"R00647","2025-11-01","29","Soporte","7","Excelente"
"R00649","2025-11-22","18","Postventa","2"," "
"R00650","2025-11-03","56","Soporte","5","Excelente"
"R00652","2025-11-27","35","Atencion","4","Excelente"
"R00660","2025-11-13","29","Ventas","5"," "
"R00661","2025-11-25","30","Soporte","6"," "
"R00664","2025-11-28","44","Soporte","1"," "
"R00665","2025-11-23","53","Atencion","9"," "
"R00666","2025-11-21","25","Ventas","2","Excelente"
"R00667","2025-11-29","18","Ventas","4","Podria mejorar"
"R00669","2025-11-08","18","Atencion","8"," "
"R00670","2025-11-28","43","Atencion","6","Podria mejorar"
"R00672","2025-11-19","18","Atencion","8","Podria mejorar"
"R00674","2025-11-07","20","Soporte","7"," "
"R00678","2025-11-22","23","Soporte","8"," "
"R00681","2025-11-26","34","Soporte","2","Rapido"
"R00682","2025-11-24","65","Atencion","4","Muy bien"
"R00683","2025-11-20","64","Postventa","7","Podria mejorar"
"R00686","2025-11-14","18","Atencion","4","Muy bien"
"R00691","2025-11-10","52","Soporte","1","Podria mejorar"
"R00693","2025-11-16","35","Postventa","4","Muy bien"
"R00695","2025-11-27","47","Atencion","5","Rapido"
"R00696","2025-11-14","55","Atencion","4"," "
"R00697","2025-11-04","65","Postventa","8","Muy bien"
"R00700","2025-11-25","30","Atencion","3"," "
"R00701","2025-11-20","30","Soporte","4","Mal servicio"
"R00703","2025-11-08","65","Atencion","4","Excelente"
"R00706","2025-11-03","39","Atencion","2","Podria mejorar"
"R00707","2025-11-27","54","Soporte","5"," "
"R00708","2025-11-20","40","Atencion","1"," "
"R00712","2025-11-16","25","Ventas","2","Mal servicio"
"R00713","2025-11-11","36","Atencion","9","Podria mejorar"
"R00714","2025-11-07","26","Atencion","7","Excelente"
"R00715","2025-11-05","32","Ventas","3","Podria mejorar"
"R00716","2025-11-28","18","Ventas","4","Rapido"
"R00717","2025-11-02","47","Atencion","10"," "
"R00718","2025-11-23","39","Soporte","5","Excelente"
"R00722","2025-11-29","51","Soporte","5","Excelente"
"R00726","2025-11-11","55","Atencion","6"," "
"R00727","2025-11-30","33","Postventa","5"," "
"R00728","2025-11-03","18","Atencion","5","Excelente"
"R00731","2025-11-25","55","Soporte","4","Excelente"
"R00733","2025-11-08","62","Ventas","6"," "
"R00734","2025-11-12","31","Soporte","1","Muy bien"
"R00736","2025-11-20","30","Atencion","8"," "
"R00737","2025-11-16","27","Soporte","5","Excelente"
"R00738","2025-11-29","53","Atencion","1","Muy bien"
"R00739","2025-11-20","29","Ventas","10"," "
"R00740","2025-11-05","24","Soporte","10","Podria mejorar"
"R00742","2025-11-18","60","Soporte","2","Muy bien"
"R00743","2025-11-30","26","Atencion","8","Mal servicio"
"R00744","2025-11-30","65","Postventa","7"," "
"R00747","2025-11-28","22","Soporte","7","Muy bien"
"R00748","2025-11-16","48","Atencion","8"," "
"R00751","2025-11-21","42","Atencion","7"," "
"R00757","2025-11-11","43","Atencion","10","Rapido"
"R00758","2025-11-01","36","Ventas","1"," "
"R00760","2025-11-14","38","Soporte","10"," "
"R00761","2025-11-13","44","Atencion","3","Excelente"
"R00762","2025-11-10","49","Soporte","9"," "
"R00764","2025-11-26","52","Atencion","9","Excelente"
"R00765","2025-11-12","25","Soporte","6"," "
"R00766","2025-11-12","38","Ventas","10","Muy bien"
"R00768","2025-11-05","25","Ventas","6","Muy bien"
"R00769","2025-11-13","43","Postventa","5"," "
"R00770","2025-11-06","40","Ventas","1"," "
"R00771","2025-11-22","48","Atencion","4"," "
"R00773","2025-11-11","38","Ventas","5","Muy bien"
"R00774","2025-11-27","32","Postventa","7"," "
"R00778","2025-11-04","24","Postventa","5"," "
"R00780","2025-11-27","46","Ventas","2","Podria mejorar"
"R00783","2025-11-18","33","Ventas","6","Mal servicio"
"R00784","2025-11-16","31","Soporte","3","Muy bien"
"R00786","2025-11-28","51","Ventas","8"," "
"R00788","2025-11-14","53","Atencion","5","Rapido"
"R00791","2025-11-26","65","Soporte","8"," "
"R00796","2025-11-02","32","Soporte","5"," "
"R00801","2025-11-23","45","Soporte","2"," "
"R00804","2025-11-02","64","Atencion","5"," "
"R00805","2025-11-04","40","Soporte","3","Excelente"
"R00807","2025-11-25","28","Soporte","10"," "
"R00808","2025-11-25","49","Soporte","5"," "
"R00809","2025-11-30","26","Atencion","4","Podria mejorar"
"R00810","2025-11-22","37","Soporte","2","Muy bien"
"R00813","2025-11-02","45","Atencion","6","Podria mejorar"
"R00816","2025-11-15","28","Soporte","5","Rapido"
"R00817","2025-11-30","48","Atencion","5"," "
"R00819","2025-11-22","50","Ventas","3"," "
"R00821","2025-11-01","39","Atencion","3"," "
"R00825","2025-11-21","50","Ventas","10","Excelente"
"R00826","2025-11-19","24","Soporte","3"," "
"R00831","2025-11-06","30","Soporte","5"," "
"R00832","2025-11-11","40","Atencion","9","Mal servicio"
"R00833","2025-11-16","18","Soporte","6","Excelente"
"R00834","2025-11-14","61","Atencion","4","Rapido"
"R00838","2025-11-19","48","Soporte","3"," "
"R00839","2025-11-10","41","Soporte","1","Excelente"
"R00843","2025-11-09","28","Soporte","3"," "
"R00844","2025-11-11","58","Ventas","4"," "
"R00845","2025-11-30","26","Postventa","2"," "
"R00847","2025-11-26","34","Ventas","1","Mal servicio"
"R00849","2025-11-17","62","Soporte","6","Rapido"
"R00850","2025-11-23","40","Postventa","2","Excelente"
"R00851","2025-11-17","19","Atencion","9"," "
"R00857","2025-11-15","43","Atencion","3","Mal servicio"
"R00859","2025-11-25","22","Soporte","7","Podria mejorar"
"R00860","2025-11-07","32","Ventas","4","Mal servicio"
"R00867","2025-11-27","41","Postventa","3"," "
"R00868","2025-11-26","35","Postventa","8"," "
"R00872","2025-11-14","51","Ventas","7"," "
"R00873","2025-11-13","45","Atencion","2","Mal servicio"
"R00875","2025-11-12","57","Ventas","4"," "
"R00876","2025-11-02","20","Atencion","7","Mal servicio"
"R00877","2025-11-12","47","Soporte","5"," "
"R00878","2025-11-23","43","Atencion","9","Podria mejorar"
"R00880","2025-11-15","63","Soporte","3","Rapido"
"R00881","2025-11-21","61","Postventa","2","Rapido"
"R00882","2025-11-24","52","Atencion","9","Podria mejorar"
"R00887","2025-11-18","61","Ventas","7","Excelente"
"R00888","2025-11-24","29","Soporte","8"," "
"R00893","2025-11-06","46","Soporte","6"," "
"R00896","2025-11-10","33","Soporte","9"," "
"R00897","2025-11-29","25","Atencion","1"," "
"R00900","2025-11-11","26","Atencion","6","Podria mejorar"
"R00902","2025-11-01","26","Postventa","6"," "
"R00905","2025-11-02","56","Atencion","10"," "
"R00906","2025-11-07","51","Atencion","7"," "
"R00908","2025-11-01","45","Atencion","7"," "
"R00909","2025-11-21","42","Atencion","5","Podria mejorar"
"R00910","2025-11-19","23","Ventas","1"," "
"R00911","2025-11-12","18","Soporte","1"," "
"R00920","2025-11-02","65","Atencion","5","Excelente"
"R00923","2025-11-29","58","Ventas","5"," "
"R00924","2025-11-16","34","Postventa","4"," "
"R00926","2025-11-12","18","Atencion","7","Rapido"
"R00928","2025-11-17","46","Atencion","2"," "
"R00932","2025-11-10","48","Atencion","8"," "
"R00936","2025-11-10","57","Atencion","9"," "
"R00937","2025-11-22","34","Postventa","1"," "
"R00942","2025-11-25","22","Soporte","3"," "
"R00944","2025-11-15","20","Soporte","5","Excelente"
"R00949","2025-11-15","46","Soporte","7","Mal servicio"
"R00950","2025-11-13","30","Atencion","10"," "
"R00951","2025-11-13","29","Ventas","4","Podria mejorar"
"R00952","2025-11-12","34","Atencion","2"," "
"R00956","2025-11-11","59","Atencion","4","Mal servicio"
"R00960","2025-11-01","44","Ventas","6","Podria mejorar"
"R00962","2025-11-15","23","Ventas","4"," "
"R00968","2025-11-08","50","Postventa","10"," "
"R00969","2025-11-13","46","Postventa","1","Excelente"
"R00970","2025-11-29","30","Soporte","5","Podria mejorar"
"R00971","2025-11-04","59","Soporte","1","Rapido"
"R00972","2025-11-15","28","Postventa","5","Podria mejorar"
"R00975","2025-11-18","49","Atencion","6"," "
"R00979","2025-11-25","60","Atencion","2","Rapido"
"R00980","2025-11-25","30","Atencion","1","Rapido"
"R00982","2025-11-14","26","Ventas","7","Rapido"
"R00985","2025-11-19","31","Atencion","10"," "
"R00987","2025-11-11","24","Soporte","9","Mal servicio"
"R00993","2025-11-30","32","Atencion","8","Rapido"
"R00995","2025-11-04","54","Atencion","2","Rapido"
"R00996","2025-11-22","34","Soporte","6","Mal servicio"
"R00997","2025-11-12","22","Atencion","5"," "
"R00998","2025-11-30","21","Atencion","3"," "
"R01002","2025-11-10","25","Atencion","8"," "
"R01006","2025-11-30","65","Atencion","7"," "
"R01008","2025-11-03","57","Atencion","8","Podria mejorar"
"R01011","2025-11-06","22","Ventas","6","Podria mejorar"
"R01012","2025-11-08","40","Soporte","3","Rapido"
"R01014","2025-11-29","63","Atencion","6"," "
"R01016","2025-11-23","44","Atencion","6"," "
"R01017","2025-11-01","50","Ventas","3"," "
"R01018","2025-11-24","44","Atencion","9","Muy bien"
"R01023","2025-11-13","42","Atencion","7","Excelente"
"R01028","2025-11-14","23","Postventa","3","Mal servicio"
"R01031","2025-11-24","33","Postventa","5","Rapido"
"R01032","2025-11-28","21","Soporte","5"," "
"R01045","2025-11-04","29","Atencion","9","Rapido"
"R01047","2025-11-19","23","Ventas","9","Muy bien"
"R01051","2025-11-22","19","Postventa","2","Excelente"
"R01052","2025-11-22","25","Postventa","5"," "
"R01053","2025-11-24","62","Atencion","7","Mal servicio"
"R01054","2025-11-17","64","Ventas","2","Muy bien"
"R01060","2025-11-10","63","Ventas","6"," "
"R01065","2025-11-26","52","Postventa","5"," "
"R01070","2025-11-06","34","Atencion","9"," "
"R01075","2025-11-25","30","Soporte","5"," "
"R01078","2025-11-21","44","Soporte","1"," "
"R01079","2025-11-28","63","Soporte","7"," "
"R01080","2025-11-08","60","Atencion","9","Podria mejorar"
"R01082","2025-11-30","29","Postventa","8","Rapido"
"R01087","2025-11-28","64","Ventas","5"," "
"R01091","2025-11-16","19","Ventas","4"," "
"R01093","2025-11-05","61","Soporte","3"," "
"R01094","2025-11-14","18","Soporte","3"," "
"R01095","2025-11-07","58","Ventas","9"," "
"R01096","2025-11-12","21","Atencion","4"," "
"R01099","2025-11-23","61","Postventa","8"," "
"R01100","2025-11-23","56","Atencion","6","Muy bien"
"R01101","2025-11-20","43","Soporte","2","Mal servicio"
"R01103","2025-11-25","42","Soporte","2","Muy bien"
"R01104","2025-11-22","20","Ventas","2"," "
"R01106","2025-11-27","51","Atencion","5"," "
"R01107","2025-11-04","45","Soporte","8"," "
"R01111","2025-11-30","64","Atencion","2"," "
"R01113","2025-11-15","43","Atencion","4","Mal servicio"
"R01114","2025-11-07","51","Ventas","10","Excelente"
"R01115","2025-11-13","56","Atencion","1"," "
"R01116","2025-11-08","64","Ventas","9","Rapido"
"R01117","2025-11-09","36","Ventas","8","Podria mejorar"
"R01123","2025-11-23","32","Atencion","6","Muy bien"
"R01125","2025-11-22","53","Soporte","8","Rapido"
"R01126","2025-11-18","33","Atencion","5","Mal servicio"
"R01131","2025-11-22","20","Postventa","4","Mal servicio"
"R01132","2025-11-27","44","Ventas","4"," "
"R01136","2025-11-25","30","Atencion","8","Podria mejorar"
"R01137","2025-11-27","48","Soporte","1","Muy bien"
"R01138","2025-11-09","47","Soporte","1","Excelente"
"R01141","2025-11-18","45","Atencion","9","Mal servicio"
"R01145","2025-11-08","46","Soporte","8"," "
"R01150","2025-11-06","28","Ventas","5","Muy bien"
"R01151","2025-11-07","60","Soporte","8","Muy bien"
"R01152","2025-11-09","51","Ventas","6"," "
"R01153","2025-11-24","25","Soporte","6","Mal servicio"
"R01155","2025-11-06","43","Postventa","5","Excelente"
"R01156","2025-11-18","23","Soporte","3","Mal servicio"
"R01157","2025-11-28","23","Soporte","6","Excelente"
"R01158","2025-11-15","35","Atencion","6"," "
"R01159","2025-11-16","47","Atencion","2","Podria mejorar"
"R01162","2025-11-21","29","Soporte","3","Muy bien"
"R01163","2025-11-16","43","Ventas","8"," "
"R01167","2025-11-11","21","Atencion","6"," "
"R01169","2025-11-24","61","Soporte","7","Podria mejorar"
"R01172","2025-11-10","22","Soporte","10"," "
"R01176","2025-11-24","29","Soporte","3"," "
"R01177","2025-11-18","24","Atencion","1","Mal servicio"
"R01178","2025-11-27","42","Atencion","2"," "
"R01180","2025-11-17","24","Postventa","2","Muy bien"
"R01181","2025-11-21","62","Postventa","8"," "
"R01182","2025-11-14","19","Atencion","7","Muy bien"
"R01183","2025-11-09","38","Atencion","8"," "
"R01184","2025-11-09","50","Atencion","7"," "
